username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Lionel🇺🇸",LionelMedia,2019-02-13 08:49,17,61,"Imagine all those #CaliforniaFires for nothing.",,,#CaliforniaFires,"1095726716000047104",https://twitter.com/LionelMedia/status/1095726716000047104
"Pietro Maximoff 2020 💥🐯 #AvengersAssemble #Peace",American_Blonde,2019-02-10 08:00,20,40,"#FreeLuna #SundayMorning @jack @TwitterSupport hey please Luna is a friend of ours. She’s loving and cool. And she put out helpful tweets during the #CaliforniaFires. Thanks, Vision. Let’s Free Luna! pic.twitter.com/z5Bwg5BXuQ",,@jack @TwitterSupport,#FreeLuna #SundayMorning #CaliforniaFires,"1094627223313747968",https://twitter.com/American_Blonde/status/1094627223313747968
"#TheSwanson",SwansonsStache,2019-02-02 04:04,18,38,"The most amazing thing I have seen all week! Beautiful Aurora disappeared during the November #CaliforniaFires and was just trapped and reunited with her owners! I bet she will have lots of treats this weekend! #AllTheFeels #CampFirePetshttps://twitter.com/ChaliceGarden/status/1091549890943971328 …",,,#CaliforniaFires #AllTheFeels #CampFirePetshttps,"1091668556775870465",https://twitter.com/SwansonsStache/status/1091668556775870465
"Dogs of Tesla 🐾",dogsoftesla,2019-02-01 15:14,10,39,"Happy #FrunkPuppyFriday! Last week we donated some fresh water & dog beds to #CampFire survivors in Paradise, CA. Sending good vibes and to all affected. May you find the strength and courage to recover and rebuild. #CaliforniaFires http://buttecountyrecovers.org pic.twitter.com/eqMAEfV2rR",,,#FrunkPuppyFriday #CampFire #CaliforniaFires,"1091474913381167104",https://twitter.com/dogsoftesla/status/1091474913381167104
"Napa Valley Register",NapaRegister,2019-01-26 07:07,10,33,"Director Ron Howard is planning to make a documentary about a Northern California town's attempt to rebuild after a devastating wildfire last year https://buff.ly/2ReC9Lw #Paradise #CampFire #CaliforniaFires #Wildfires",,,#Paradise #CampFire #CaliforniaFires #Wildfires,"1089177900379791361",https://twitter.com/NapaRegister/status/1089177900379791361
"Feeding America",FeedingAmerica,2019-01-25 06:25,9,28,"“My job in logging was supposed to start the day of the fire. Well, that didn’t happen.” -Martin The destructive #CaliforniaFires left Martin without a job or income. With the help from a food distribution center, he is able to feed his family while he looks for work. pic.twitter.com/sUFubXERct",,,#CaliforniaFires,"1088804945963507714",https://twitter.com/FeedingAmerica/status/1088804945963507714
"Susan Li",SusanLiTV,2019-01-15 16:40,12,63,"Good practice in concentration yesterday! Happened to be right next to the entry way for the #navy coming in to ring the closing bell @nyse it was loud alright! Almost as loud as the #bankruptcy of #California largest #utility PG&E #pcg #campfire #Californiafires pic.twitter.com/MUEEUDGcfY",,@nyse,#navy #bankruptcy #California #utility #pcg #campfire #Californiafires,"1085335888014516224",https://twitter.com/SusanLiTV/status/1085335888014516224
"🗽TrueAmerica",Unconquerable,2019-01-14 13:54,108,110,"Markets FALL as #Trump Deals FAIL China exports to US fall on rising tariffs & broad weakness Big Pharma fell on news of Rx pricing investigation PG&E filed Chapter 11 for #CaliforniaFires liability Tech slumps for Wall Banks win on #GOPTaxScam #TrumpShutdown pic.twitter.com/pQLGo8XR9h",,,#Trump #CaliforniaFires #GOPTaxScam #TrumpShutdown,"1084931826144210944",https://twitter.com/Unconquerable/status/1084931826144210944
"💞Venus💞",RulingVenus,2019-01-13 18:13,27,24,"The 2018 fire season in #California, including the largest fire in state history, released nearly as much climate-warming and air-polluting emissions as a year’s worth of electricity use there https://bit.ly/2BPkoOm #ClimateChange #CaliforniaFires #TW #ClimateChangeIsReal",,,#California #ClimateChange #CaliforniaFires #TW #ClimateChangeIsReal,"1084634479409405952",https://twitter.com/RulingVenus/status/1084634479409405952
"Allison",nerissarain,2019-01-13 17:51,23,13,"Woolsey Fire survivors, look here for info on rebuilding and recovering, reporting damages, and registering for federal aid. #TW #CaliforniaFires https://www.lacounty.gov/lacountyrecovers/ …",,,#TW #CaliforniaFires,"1084629168099192833",https://twitter.com/nerissarain/status/1084629168099192833
"Storm’s on vacation",DemocracyStorm,2019-01-13 17:34,35,34,"We’ve raised $84k for Camp Fire survivors, purchased 7 trailers for homeless families. Trailers 8 & 9 will be picked up this weekend. Still 700 people in Red Cross shelter that closes at end of the month. #TW #CaliforniaFires Please donate https://goo.gl/dbx9xU",,,#TW #CaliforniaFires,"1084624640444555264",https://twitter.com/DemocracyStorm/status/1084624640444555264
