username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Melissa Daugherty",MaddogDaugherty,2019-02-28 10:28,11,12,"Read and share this story. This is huge, and unfortunately really devastating to the efforts to rebuild #Paradise in the wake of the #campfire. It’s a public health issue and it’s a very serious one—and it is not being addressed.” --Andrew Whelton, Purdue University professor https://twitter.com/ChicoNR/status/1101166259742240768 …",,,#Paradise #campfire,"1101187465895792641",https://twitter.com/MaddogDaugherty/status/1101187465895792641
"NBC Bay Area",nbcbayarea,2019-02-28 09:21,27,20,"JUST IN: PG&E says its equipment may have ignited the 2018 #CampFire, which killed 86 people in Northern California. http://nbcbay.com/pYrKfRH",,,#CampFire,"1101170500997402625",https://twitter.com/nbcbayarea/status/1101170500997402625
"KTLA",KTLA,2019-02-28 09:06,83,59,"#BREAKING: PG&E says its equipment likely caused the #CampFire that left 85 people dead and destroyed thousands of homes in NorCal http://on.ktla.com/g5Wat",,,#BREAKING #CampFire,"1101166709187047424",https://twitter.com/KTLA/status/1101166709187047424
"Joe Serna, LAT",JosephSerna,2019-02-28 08:43,20,12,"PG&E admits its equipment likely caused California’s worst fire ever, the #Campfire https://www.latimes.com/local/lanow/la-me-pge-paradise-fire-20190228-story.html …",,,#Campfire,"1101160879012241413",https://twitter.com/JosephSerna/status/1101160879012241413
"J.D. Morris",thejdmorris,2019-02-28 07:26,30,26,"This is big: PG&E believes it is probable that it its equipment is an ignition point of last year's #CampFire, for which the company recorded a $10.5 billion charge, according to its latest earnings report today. Story TK @sfchronicle pic.twitter.com/1CFwyZz5vr",,@sfchronicle,#CampFire,"1101141568650600451",https://twitter.com/thejdmorris/status/1101141568650600451
"Lady V👩‍💻🔥💚",ChaliceGarden,2019-02-27 22:15,11,7,"NEW CALL TO ACTION for #CampFirePets! 100s still in #CampFire burn zone needing rescue; 100s more in shelters/foster awaiting owners to find them before they're adopted! Please help (from anywhere!). RT! THANK YOU! https://docs.google.com/document/d/1UW-UhAqjv90Az83YJndJtk9nY1GHr4RS0YOzBVGInhY/ … #WednesdayWisdom #ParadiseStrong",,,#CampFirePets #CampFire #WednesdayWisdom #ParadiseStrong,"1101002938124627969",https://twitter.com/ChaliceGarden/status/1101002938124627969
"Butte County History",buttecohistory,2019-02-27 19:13,19,55,"When @ButteSheriff Sgt. Greg Reeves took this #OrovilleDamSpillway photo #OTD in 2017, we had no idea what the next two years would bring...the #WallFire, #PonderosaFire, #CherokeeFire, #HoneyFire, #LaPorteFire, #StoneyFire, and the devastating #CampFire. We are #ButteStrong! pic.twitter.com/IU29RJazkb",,@ButteSheriff,#OrovilleDamSpillway #OTD #WallFire #PonderosaFire #CherokeeFire #HoneyFire #LaPorteFire #StoneyFire #CampFire #ButteStrong,"1100957070629584899",https://twitter.com/buttecohistory/status/1100957070629584899
"Jenn 🌀🔥📢 #DAT",Jr3597,2019-02-27 16:06,11,8,"#CampFire - application at link for help paying cell phone bill or with gas gift cards from . @BGCA_Clubs. #DisasterRelief #Resources #WednesdayWisdom #DisasterAssistTeam https://bgcnv.org/camp-fire-gift-card-application-for-cell-phone-bills-and-gas?fbclid=IwAR2oAuPCMjy20rEoGXKZK9bekmsyBPicc_gZM9PYd0OxOkezHGv3MyZ1fi0 …",,@BGCA_Clubs,#CampFire #DisasterRelief #Resources #WednesdayWisdom #DisasterAssistTeam,"1100910129451593728",https://twitter.com/Jr3597/status/1100910129451593728
"Garvin Thomas",garvinthomas,2019-02-27 10:53,5,13,"Wonderful announcement from the folks at @ClifBar: 100% of net profits from sale of Sierra Trail Mix bar will go to new Second Responder Fund for victims of natural disasters. First $1.5 million will go to help #CampFire communities. #bayareaproud @nbcbayarea pic.twitter.com/grq7RW7NoM",,@ClifBar @nbcbayarea,#CampFire #bayareaproud,"1100831322254147584",https://twitter.com/garvinthomas/status/1100831322254147584
"👸🏿Tel",HiRolla1,2019-02-27 00:33,13,20,"#Canoeing #Hiking #boating #birdwatching #Ziplining #swimming #CampFire .... explore Lake Bunyonyi. Log on http://www.hawkseyelodge.co.ug to make your reservations for the best experience at the best rates. Follow them @HawksEyeLodge #Hawkseyeug #Travel #TourismUganda pic.twitter.com/e1GXXNT4SH",,@HawksEyeLodge,#Canoeing #Hiking #boating #birdwatching #Ziplining #swimming #CampFire #Hawkseyeug #Travel #TourismUganda,"1100675174871879680",https://twitter.com/HiRolla1/status/1100675174871879680
"Jenn 🌀🔥📢 #DAT",Jr3597,2019-02-25 21:35,21,15,"#CampFire Notice #ButteCounty Disaster Recovery Centers *CLOSED* due to weather. Stay safe! Stay informed! #DisasterAssistTeam #Paradise #TuesdayMotivation *Information #TuesdayThoughts #Magalia #Concow #YankeeHill #Pulgahttps://www.actionnewsnow.com/content/news/Disaster-Recovery-Centers-closed-in-Butte-County-due-to-weather-conditions-506348501.html?fbclid=IwAR1qgsBs00NOB9LtQDHrUWLVybvvoR5dzLkomz1X9HF9Tx-YWe66Fo_JDxI …",,,#CampFire #ButteCounty #DisasterAssistTeam #Paradise #TuesdayMotivation #TuesdayThoughts #Magalia #Concow #YankeeHill #Pulgahttps,"1100268049633079296",https://twitter.com/Jr3597/status/1100268049633079296
"David Little",ER_DavidLittle,2019-02-25 12:06,7,29,"Hope and beauty at Lookout Point near Paradise on Friday. #CampFire pic.twitter.com/BUOxkNalFy",,,#CampFire,"1100124889543929856",https://twitter.com/ER_DavidLittle/status/1100124889543929856
"Kim Jaxon",drjaxon,2019-02-24 11:48,14,12,"You'll want to read our #teacherstories series: stories of teachers who were impacted by the #CampFire told to future educators at #ChicoState. You'll learn what it means to teach in times of trauma. Up first: Hannah tells the story of @BlaschkeErica https://coloraclassroom.org/2019/02/24/teacher-stories-erica-blaschke/ … #NCTE",,@BlaschkeErica,#teacherstories #CampFire #ChicoState #NCTE,"1099757927018094592",https://twitter.com/drjaxon/status/1099757927018094592
"Alec in WILDerland",AlecWILDerland,2019-02-23 17:11,6,40,"New WILDsides! Learn how to make the ultimate SPAMwich on your next camping trip! #spam #cooking #campfire #scoutshttps://youtu.be/4UCFrRQrsJk",,,#spam #cooking #campfire #scoutshttps,"1099476867575246849",https://twitter.com/AlecWILDerland/status/1099476867575246849
"Ricardo Lara",ICRicardoLara,2019-02-23 10:26,8,21,"Big crowd today for our #CampFire #insurance workshop @ChicoState. We will be here Saturday and Sunday...no appointment needed & free to the public. Proud to be here @CountyofButte @J_GallagherAD3 pic.twitter.com/BqTzOtDgPL",,@ChicoState @CountyofButte @J_GallagherAD3,#CampFire #insurance,"1099375020113948672",https://twitter.com/ICRicardoLara/status/1099375020113948672
"Alley Cat Allies",alleycatallies,2019-02-22 06:46,89,139,"Every day, the Alley Cat Allies Recovery Center in Marysville, California, is caring for the cats who survived the deadly #CampFire. Here are some of their stories. http://qoo.ly/vkpx4",,,#CampFire,"1098957096954019840",https://twitter.com/alleycatallies/status/1098957096954019840
"Dani Anguiano",Dani_Anguiano,2019-02-21 10:30,4,17,"All around Paradise there are still so many reminders of how life stopped on November 8 - leftover Halloween pumpkins at Ponderosa school and an ad for Christmas preview #CampFire pic.twitter.com/6Gu81Zmi0H",,,#CampFire,"1098651105381105665",https://twitter.com/Dani_Anguiano/status/1098651105381105665
"Madison Meyer",madisonmeyer,2019-02-19 18:14,4,20,"Excuse my excitement but Kingston’s story aired on @ABCWorldNews just now! I’m so happy this group is getting national attention for what they are doing to reunite pets! It’s incredible and Kingston’s story goes to show, you should never lose hope! #CampFire #Paradise @ABC10 pic.twitter.com/hpgNayAIZQ",,@ABCWorldNews @ABC10,#CampFire #Paradise,"1098043105356337153",https://twitter.com/madisonmeyer/status/1098043105356337153
"2nd Shift Brewing",2ndshiftbrewing,2019-02-17 15:24,3,157,"Our staff is incredible. They donated all tips from today’s #resiliencefest to the #campfire cause. We are truly so so so lucky",,,#resiliencefest #campfire,"1097275675675893761",https://twitter.com/2ndshiftbrewing/status/1097275675675893761
"High Country News",highcountrynews,2019-02-28 15:28,7,7,"As #Campfire survivors navigate trauma and disappointment, they place what might be false hope in their lawsuits against PG&E. https://hcne.ws/2IJRyEE",,,#Campfire,"1101262780060000256",https://twitter.com/highcountrynews/status/1101262780060000256
"Wildfire Today  🔥",wildfiretoday,2019-02-28 14:47,14,14,"PG&E admits their equipment probably caused the devastating #CampFire at Paradise, CA that killed 85 people and destroyed 14,000 homes. A “broken C-hook” attached to the 115-kilovolt tower was the probable cause. https://www.sacbee.com/news/state/california/article226921019.html … #Wildfires",,,#CampFire #Wildfires,"1101252663675682817",https://twitter.com/wildfiretoday/status/1101252663675682817
"Sonseeahray Tonsall",tonsalltv,2019-02-28 09:43,10,10,"NEW TODAY: @PGE4Me now has this to say about the #CampFire....the company believes it is probable that its equipment will be determined to be an ignition point of the 2018 Camp Fire. That fire killed more than 80 people and has displaced thousands of others. @FOX40 pic.twitter.com/1w3Z9h66Ts",,@PGE4Me @FOX40,#CampFire,"1101176089529876481",https://twitter.com/tonsalltv/status/1101176089529876481
"Ed Joyce",EdJoyce,2019-02-28 08:52,4,5,"PG&E says it’s ‘probable’ its equipment started the #CampFire and the company has recorded a $10.5 billion charge related to claims from the #wildfire Story from @sfchronicle https://bit.ly/2GQUy0a pic.twitter.com/cnAbdo9DKQ",,@sfchronicle,#CampFire #wildfire,"1101163136168603648",https://twitter.com/EdJoyce/status/1101163136168603648
"Tay Austin",Jasamsdestiny,2019-02-28 08:06,16,9,"Attention #Marysville - who lost a Golden Lab? Anyone know this handsome guy? He was found yesterday afternoon on 193 & Fowler. Is he yours? If so he's at Lincoln PD. #LincolnCounty #FoundDog #GoldenLab #lostdog #CampFire #ParadiseFirePets #ParadiseFire pic.twitter.com/422W17tGsQ",,,#Marysville #LincolnCounty #FoundDog #GoldenLab #lostdog #CampFire #ParadiseFirePets #ParadiseFire,"1101151697609605123",https://twitter.com/Jasamsdestiny/status/1101151697609605123
"Peanut 🐾",MoreThanWalkies,2019-02-28 04:33,3,26,"I LOVE my hiking boots @vango @WildCampingUK #Adventure #Hiking #hikingdog #campingwithdogs #camping #dogcamping #campfire #tent @dogcelebration #dogs #DogsOfTwitter @walthollick @BERTIE_LAKELAND @RuthJeffery9 @samsBellabob @olive_blacklab @RagamuffinLewis #dogsthatexplore pic.twitter.com/H23FCLxkfq",,@vango @WildCampingUK @dogcelebration @walthollick @BERTIE_LAKELAND @RuthJeffery9 @samsBellabob @olive_blacklab @RagamuffinLewis,#Adventure #Hiking #hikingdog #campingwithdogs #camping #dogcamping #campfire #tent #dogs #DogsOfTwitter #dogsthatexplore,"1101097945263472640",https://twitter.com/MoreThanWalkies/status/1101097945263472640
