username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Kelley",kelleysher,2019-01-13 13:17,6,6,"THEY say these cats can't have a real home! #CampFirePets #Paradise #ParadiseStrong #Magalia #ButteCounty #ButteCountyStrong #ButteStrong #Oroville #burnzonepet #Concow #Chico #CampFireJamesWoods #CampFireParadise #CaliforniaWildfires #Stirling #YubaCity #ConcowStrong @Rubiconski",,@Rubiconski,#CampFirePets #Paradise #ParadiseStrong #Magalia #ButteCounty #ButteCountyStrong #ButteStrong #Oroville #burnzonepet #Concow #Chico #CampFireJamesWoods #CampFireParadise #CaliforniaWildfires #Stirling #YubaCity #ConcowStrong,"1084560024654020609",https://twitter.com/kelleysher/status/1084560024654020609
"Kelley",kelleysher,2019-01-11 15:12,4,5,"Please Share to ALL #CampFireEvacuees! #CampFire #CampFirePets #Paradise #ParadiseStrong #Magalia #ButteCounty #ButteCountyStrong #ButteStrong #Oroville #burnzonepet #Concow #Chico #CampFireJamesWoods #CampFireParadise #CaliforniaWildfires #Stirling #YubaCity #ConcowStronghttps://twitter.com/ChaliceGarden/status/1083849814675091458 …",,,#CampFireEvacuees #CampFire #CampFirePets #Paradise #ParadiseStrong #Magalia #ButteCounty #ButteCountyStrong #ButteStrong #Oroville #burnzonepet #Concow #Chico #CampFireJamesWoods #CampFireParadise #CaliforniaWildfires #Stirling #YubaCity #ConcowStronghttps,"1083864318976905216",https://twitter.com/kelleysher/status/1083864318976905216
"Lady V👩‍💻🔥💚",ChaliceGarden,2019-01-01 12:58,6,4,"Gary Dunsmoor is still trying to locate Russ Anderson who lived at 5887 Hazel Lane in #PARADISE. If you anyone knows where he is or how to reach out to him please contact Gary via FB. #CampFire #CampFireJamesWoods #Chico",,,#PARADISE #CampFire #CampFireJamesWoods #Chico,"1080206775054290944",https://twitter.com/ChaliceGarden/status/1080206775054290944
"James Rodriguez",drikpic,2018-12-27 15:56,18,28,"It was confirmed #Splinter didn't make it. I'll miss you. I finally had a chance to go look at things today. It was about what i expected. Thank you everyone for your on going support. #campfirejameswoods If you want to give a little, it all helps us. http://paypal.me/drikpic",,,#Splinter #campfirejameswoods,"1078439395303219200",https://twitter.com/drikpic/status/1078439395303219200
"мιѕѕ иуєт тяυмρ 🌊📎🇦🇺🍑",MissNyetTrump,2018-12-23 20:40,83,78,"Can anyone help find this beauty's family? Absolutely stunning fluffy blue-eye calico found in #ButteCounty More details below. Someone is looking for this furbaby Please RT! Ty. #Buttestrong #foundcat #DisasterPets #DisasterAssistTeam #CampFirePets #CampFireJamesWoods https://twitter.com/Jr3597/status/1077002698707357696 …",,,#ButteCounty #Buttestrong #foundcat #DisasterPets #DisasterAssistTeam #CampFirePets #CampFireJamesWoods,"1077061329544859649",https://twitter.com/MissNyetTrump/status/1077061329544859649
"Lady V👩‍💻🔥💚",ChaliceGarden,2018-12-22 18:53,27,12,"#CampFire #CampFirePets Updated 12/22 6:45p verified info: resources, events, giveaways, $, housing, finding missing pets, supplies, debris, food...! Please RT https://docs.google.com/document/d/1sfabgciPL5ci3R3sTaapHibtqkDFURF5Hc8FsetE98Y … #SaturdayThoughts #DisasterAssistTeam #ParadiseStrong #Paradise #Chico #CampFireJamesWoods",,,#CampFire #CampFirePets #SaturdayThoughts #DisasterAssistTeam #ParadiseStrong #Paradise #Chico #CampFireJamesWoods,"1076672067120951296",https://twitter.com/ChaliceGarden/status/1076672067120951296
"мιѕѕ иуєт тяυмρ 🌊📎🇦🇺🍑",MissNyetTrump,2018-12-20 21:12,20,16,"Free hot meals for #ParadiseFire survivors and relief workers Old Magalia Church, Magalia CA Want to donate food? ⤸ 530-616-8228 #CampFireJamesWoods #DisasterAssistTeam #DisasterRelief #CampFire #CaliforniaFires #CaliforniaStrong pic.twitter.com/r8vjC6YT5u",,,#ParadiseFire #CampFireJamesWoods #DisasterAssistTeam #DisasterRelief #CampFire #CaliforniaFires #CaliforniaStrong,"1075982396002955264",https://twitter.com/MissNyetTrump/status/1075982396002955264
"мιѕѕ иуєт тяυмρ 🌊📎🇦🇺🍑",MissNyetTrump,2018-12-20 21:04,11,12,"Spirit of Christmas Dinner in #Chico for #CampFire evacuees Sunday December 23, 3-8pm Dinner, presents and more! ⤸ 707-495-1038 #CampFireJamesWoods #ParadiseFire #CaliforniaStrong #DisasterAssistTeam #HappyHolidays pic.twitter.com/dlM7ya2cU3",,,#Chico #CampFire #CampFireJamesWoods #ParadiseFire #CaliforniaStrong #DisasterAssistTeam #HappyHolidays,"1075980379025068033",https://twitter.com/MissNyetTrump/status/1075980379025068033
"Tweeter07",StarWhisper7,2018-12-20 11:22,5,5,"PLEASE RETWEET ...THIS CRISIS IS NOT OVER #CampfirePets #CampFireParadise #CampFireJamesWoods #CAMPFIREPETShttps://twitter.com/CampFirePets/status/1075833126411096064 …",,,#CampfirePets #CampFireParadise #CampFireJamesWoods #CAMPFIREPETShttps,"1075833897500340224",https://twitter.com/StarWhisper7/status/1075833897500340224
"California Wildfire Pets #CampfirePets",CAFirePets,2018-12-17 09:23,16,11,"#FoundDogs all at NWSPCA #CampfireDogs #CAFireDogs. Please share to get them home! I don't think any of these guys are on Facebook. #CampfireJameswoods pic.twitter.com/Ajb3us8la1",,,#FoundDogs #CampfireDogs #CAFireDogs #CampfireJameswoods,"1074716711918530560",https://twitter.com/CAFirePets/status/1074716711918530560
"James Rodriguez",drikpic,2018-12-15 16:04,6,17,"My bro went and took pictures today of the APT. This is from outside of my dad's and my room which were close to each other. No signs of #Splinter here or any shelters. #campfirejameswoods If you want to give a little it all helps us. http://paypal.me/drikpic pic.twitter.com/EYBhxbcYOk",,,#Splinter #campfirejameswoods,"1074092824759480321",https://twitter.com/drikpic/status/1074092824759480321
"California Wildfire Pets #CampfirePets",CAFirePets,2018-12-12 07:28,13,11,"#FoundCat #CampfirePets Intact male, found 5721 Bonnie Lane. Black and brown tabby. White leopard spotted belly. No chip. Gold eyes. Currently at Valley Oak. I e-mail pictures (face, body, and any identifiable markers) to valleyoak@vca.com P#40818 #CampFireJamesWoods pic.twitter.com/AbF8YQ7Cnr",,@vca,#FoundCat #CampfirePets #40818 #CampFireJamesWoods,"1072875921659449344",https://twitter.com/CAFirePets/status/1072875921659449344
"California Wildfire Pets #CampfirePets",CAFirePets,2018-12-12 04:47,16,9,"Just found!!!!! #foubdcat intact grey male tabby at 5721 Bonnie Lane. White leopard spotted belly. No chip #campfirevca #campfirepets #CampFireJamesWoods #cafirepets please tweet this to find his people!!! pic.twitter.com/G3sG6iFaIY",,,#foubdcat #campfirevca #campfirepets #CampFireJamesWoods #cafirepets,"1072835370558124034",https://twitter.com/CAFirePets/status/1072835370558124034
"Jeff Phinney",phinneyj,2018-12-07 22:18,5,3,"The transmission tower that failed in some way was 99 years old. It was installed in 1919. #CampFireJamesWoods #Campfire #AgingInfrastructurehttps://twitter.com/mgafni/status/1071211384292003840 …",,,#CampFireJamesWoods #Campfire #AgingInfrastructurehttps,"1071287860857171969",https://twitter.com/phinneyj/status/1071287860857171969
"🌻Wilma777🇺🇸",wilma7771,2018-12-07 21:26,3,6,"Hesagoodboy!! (Happy tears always welcome when talking about #paradisefire devastation.) These are blessed pups! @RealJamesWoods #CampFire #CampFireParadise #CampFireJamesWoods https://twitter.com/ABC10/status/1071264799592538112 …",,@RealJamesWoods,#paradisefire #CampFire #CampFireParadise #CampFireJamesWoods,"1071274827535790080",https://twitter.com/wilma7771/status/1071274827535790080
"James Woods",RealJamesWoods,2018-12-03 08:55,393,1478,"The first small but powerful step to rebuilding a life in #Paradise. #CampFireJamesWoods https://apple.news/ATsmbHd2CScmSkKz3UWnrtQ …",,,#Paradise #CampFireJamesWoods,"1069636357973135360",https://twitter.com/RealJamesWoods/status/1069636357973135360
