username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Murfam Post📷🎥🖋",Restrantek,2019-05-26 19:51,1,4,"The two fairings from #Starlink are in the harbor. #SpaceX #falcon9 pic.twitter.com/EfX3Cr4yaD",,,#Starlink #SpaceX #falcon9,"1132841799964344321",https://twitter.com/Restrantek/status/1132841799964344321
"Falcon 9 Block 5",Falcon9Block5,2019-05-26 13:11,4,12,"When's my next launch? @SpaceX @csa_asc #Falcon9 SpaceX Radarsat C1, C2, C3 Mission NET June 15 2019 VAFB SLC-4E Southern CA Falcon 9 Block 5 Landing: LZ-4 B1051.2 Window: TBD Time: TBD SSO (Sun Synchronous Orbit) 600km Payload: 3 The RADARSAT Constellation Mission pic.twitter.com/XCMN3sLs55",,@SpaceX @csa_asc,#Falcon9,"1132741188627251200",https://twitter.com/Falcon9Block5/status/1132741188627251200
"Diana Halstead",DianaHalstead,2019-05-24 20:13,9,53,"Success! @SpaceX Falcon9 Starlink! #SpaceX #Falcon9 #Starlink #NASA #NASASocial pic.twitter.com/dHNMael58o",,@SpaceX,#SpaceX #Falcon9 #Starlink #NASA #NASASocial,"1132122553647083521",https://twitter.com/DianaHalstead/status/1132122553647083521
"Dr.DahaNoob (Denise K.)",Mimikry_,2019-05-24 18:15,34,240,"Finally here my clean shot from yesterdays #SpaceX #Falcon9 #Starlink launch from SLC 40. Location was Marina Park in Titusville. pic.twitter.com/nwwsjIpBMP",,,#SpaceX #Falcon9 #Starlink,"1132092811489230848",https://twitter.com/Mimikry_/status/1132092811489230848
"Michael Baylor",nextspaceflight,2019-05-24 16:56,307,1267,"#Starlink passes over the Netherlands after launch on a #SpaceX #Falcon9. Thanks to @jelhoo1bf4 for sharing this with me. Their friend took the video and gave permission for me to share but didn't want credit. pic.twitter.com/7h2tVA7t4a",,@jelhoo1bf4,#Starlink #SpaceX #Falcon9,"1132073019071877120",https://twitter.com/nextspaceflight/status/1132073019071877120
"Lyfe B. Wilde",ArrogantWatcher,2019-05-24 16:03,6,24,"THE SPACE COAST #Falcon9 @spacex pic.twitter.com/GLhYg2X9Cy",,@spacex,#Falcon9,"1132059522485432321",https://twitter.com/ArrogantWatcher/status/1132059522485432321
"Thomas Burghardt",TGMetsFan98,2019-05-24 13:12,5,32,"Replay: @SpaceX #Falcon9 launches the first 60 #Starlink internet satellites to orbit: pic.twitter.com/AWhSv64qMl",,@SpaceX,#Falcon9 #Starlink,"1132016434152919047",https://twitter.com/TGMetsFan98/status/1132016434152919047
"LaunchLife",YourLaunchLife,2019-05-24 11:13,3,27,"We’ll be doing a blog post of your Starlink launch photos for LaunchLife’s Flight Log. We want to see your photos! Reach out to us here. And we’ll also be reaching out to you on Instagram. #falcon9 #starlink #launchlife pic.twitter.com/nkJ7vr6Pqy",,,#falcon9 #starlink #launchlife,"1131986653747134464",https://twitter.com/YourLaunchLife/status/1131986653747134464
"Richard",RDAnglePhoto,2019-05-24 10:33,35,124,"My views of last nights @SpaceX #Falcon9 launch carrying the first 60 satellites of the #Starlink satellite constellation that will help bring internet to even the most rural parts of the world! #SpaceX is aiming for 6 more Starlink launches this year. @elonmusk pic.twitter.com/2qFlbepshT",,@SpaceX @elonmusk,#Falcon9 #Starlink #SpaceX,"1131976440952565761",https://twitter.com/RDAnglePhoto/status/1131976440952565761
"Flight Club",flightclubio,2019-05-24 10:08,13,57,"My #Falcon9 S2 model is underpowered It was always likely, but after #Starlink it's obvious: 350m/s short over the course of the first S2 burn. @Erdayastronaut @elonmusk - is 348s @934kN too weak for the Block 5 Merlin Vac? What should it be? pic.twitter.com/eJcXmBCL3v",,@Erdayastronaut @elonmusk @934kN,#Falcon9 #Starlink,"1131970182640013312",https://twitter.com/flightclubio/status/1131970182640013312
