username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Change the Ref",ChangeTheRef,2018-08-14 07:31,48,127,"Parkland survivor to join Massachusetts students on 50-mile walk against gun violence https://www.bostonglobe.com/metro/2018/08/13/parkland-survivor-join-massachusetts-students-mile-walk-against-gun-violence/Ucxd3pkJMn2VDfdwoYRp4I/story.html?event=event25?event=event25 … via @BostonGlobe #ChangeTheRef #GunControlNow #GunReform #gunviolence #MSDStrong @davidhogg111",,@BostonGlobe @davidhogg111,#ChangeTheRef #GunControlNow #GunReform #gunviolence #MSDStrong,"1029375007263256576",https://twitter.com/ChangeTheRef/status/1029375007263256576
"Kelly",kellyblaus,2018-08-13 23:09,25,63,"It’s the first damn day of school. We can’t even have ONE DAY without gun violence. #GUNCONTROLNOW https://twitter.com/GinaLazara/status/1029087562621575168 …",,,#GUNCONTROLNOW,"1029248539065507840",https://twitter.com/kellyblaus/status/1029248539065507840
"Boca Vista",bocavista2016,2018-08-13 06:54,348,320,"CAN'T MAKE IT UP Democrat Congressional candidate in Georgia And #GunControlNow advocate who ran on restrictive gun laws Charged with murder for SHOOTING her husband to death... #GunControl for thee but not for me pic.twitter.com/C7N1koTX8S #Trump #MAGA #MorningJoe #NRA",,,#GunControlNow #GunControl #Trump #MAGA #MorningJoe #NRA,"1029003315265380352",https://twitter.com/bocavista2016/status/1029003315265380352
"OrangeRibbonsForJaime",Ribbons4Jaime,2018-08-13 04:01,17,151,"Change the Ref and Orange Ribbons for Jaime continue to stand up together to make change. #orangeribbonsforjaime #foreverjaime #msdstrong #notonemore #neveragain #guncontrol #gunreform #parklandstrong #keepourkidssafe #weneedchange #guncontrolnow #support pic.twitter.com/67iUqwfPlb",,,#orangeribbonsforjaime #foreverjaime #msdstrong #notonemore #neveragain #guncontrol #gunreform #parklandstrong #keepourkidssafe #weneedchange #guncontrolnow #support,"1028959638547582981",https://twitter.com/Ribbons4Jaime/status/1028959638547582981
"Michael Coren",michaelcoren,2018-08-12 07:35,199,839,"I've received a number of tweets from gun owners in the past 24 hours due to my defence of gun control. What's interesting is that judging by their anger and extremism they're the last people who should own deadly weapons. #GunControlNow",,,#GunControlNow,"1028651312370606080",https://twitter.com/michaelcoren/status/1028651312370606080
"Change the Ref",ChangeTheRef,2018-08-12 05:26,47,129,"Our Children Are Dying From Guns While NRA Opposes Common Sense Gun Laws http://goo.gl/alerts/XCr53 #ChangeTheRef #GunControlNow #GunReformNow #GUNviolence #NoRA",,,#ChangeTheRef #GunControlNow #GunReformNow #GUNviolence #NoRA,"1028618797761134592",https://twitter.com/ChangeTheRef/status/1028618797761134592
"Change the Ref",ChangeTheRef,2018-08-12 05:01,69,160,"New around here? Here's the story behind ChangeTheRef. - #changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives #weneedchange #stopthevoilence #support #gunsafety #guncontrolnow #shooting pic.twitter.com/nFKXM7aqdT",,,#changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives #weneedchange #stopthevoilence #support #gunsafety #guncontrolnow #shooting,"1028612327992639488",https://twitter.com/ChangeTheRef/status/1028612327992639488
"Doris Grinspun RN, PhD LLD(hon),Dr(hc), FAAN,O.ONT",DorisGrinspun,2018-08-11 09:33,65,120,"#danforthshooting victim Danielle Kane & boyfriend Jerry Pinksen values-driven courageous! She 1sr yr BScN @UOIT and he awesome ER RN @MGHToronto Our support heals https://www.gofundme.com/danistrong Nurses everywhere 100% with you #DanforthStrong #FrederictonStrong #GunControlNow #canpoli pic.twitter.com/yA2xZPo5wc",,@UOIT @MGHToronto,#danforthshooting #DanforthStrong #FrederictonStrong #GunControlNow #canpoli,"1028318585880436736",https://twitter.com/DorisGrinspun/status/1028318585880436736
"Michael Coren",michaelcoren,2018-08-10 18:30,46,239,"Thanks for all of the supportive comments about tonight's @CBC appearance. As for those offended at my calls for rigid gun control, I hear you but I simply disagree. Vehemently! #GunControlNow #FrederictonShooting #Fredrictonshooting #Fredericton",,@CBC,#GunControlNow #FrederictonShooting #Fredrictonshooting #Fredericton,"1028091281178877952",https://twitter.com/michaelcoren/status/1028091281178877952
"Beth Baumann",eb454,2018-08-10 10:45,25,91,"Hey #gunsense advocates! Listen up! #2A #guncontrol #guncontrolnow pic.twitter.com/QeSSsAWbKN",,,#gunsense #2A #guncontrol #guncontrolnow,"1027974353818804224",https://twitter.com/eb454/status/1027974353818804224
"Katherine Clark",RepKClark,2018-08-10 10:45,12,25,"Tragically, the Trump administration and @BetsyDeVosED are more concerned with scoring points with the NRA than making our schools and students safer. #GunControlNow https://twitter.com/edmundsanders/status/1026815074277703681 …",,@BetsyDeVosED,#GunControlNow,"1027974251301818368",https://twitter.com/RepKClark/status/1027974251301818368
"TDP",TDPattillo,2018-08-09 13:43,353,681,"When white male mass shooters start attacking from outer space I will support a #SpaceForce. Until then we need to focus on keeping our kids safe in school. #GunControlNow",,,#SpaceForce #GunControlNow,"1027656582438551558",https://twitter.com/TDPattillo/status/1027656582438551558
"BlackLivesMatter DC",DMVBlackLives,2018-08-09 11:56,31,112,"Oh it’s just the Black #Parkland students #RisingUpFightingBack Know them! #MarchForOurLives #Enough #GunControlNow #StonemanDouglasStrong #BlackStudentsMatterhttps://twitter.com/MeilingIts/status/1027042785206169601 …",,,#Parkland #RisingUpFightingBack #MarchForOurLives #Enough #GunControlNow #StonemanDouglasStrong #BlackStudentsMatterhttps,"1027629611725848581",https://twitter.com/DMVBlackLives/status/1027629611725848581
"Protect Robert Mueller ✊",DisavowTrump20,2018-08-08 18:43,6349,8048,"Florida high school shooting survivor Emma Gonzalez has shown more moral courage than the GOP and the NRA combined. RETWEET if stand with Emma as she demands gun reform from Congress and the President! #GunControlNow pic.twitter.com/EyvudarXN2",,,#GunControlNow,"1027369684759441409",https://twitter.com/DisavowTrump20/status/1027369684759441409
"OrangeRibbonsForJaime",Ribbons4Jaime,2018-08-08 11:00,15,66,"Stay tuned for new Orange Ribbons for Jaime t-shirts! Here is a preview... #orangeribbonsforjaime #foreverjaime #msdstrong #notonemore #neveragain #guncontrol #gunreform #parklandstrong #keepourkidssafe #weneedchange #stopthevoilence #enough #gunsafety #guncontrolnow #support pic.twitter.com/dmTJidik0j",,,#orangeribbonsforjaime #foreverjaime #msdstrong #notonemore #neveragain #guncontrol #gunreform #parklandstrong #keepourkidssafe #weneedchange #stopthevoilence #enough #gunsafety #guncontrolnow #support,"1027253207616172037",https://twitter.com/Ribbons4Jaime/status/1027253207616172037
