username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Change the Ref",ChangeTheRef,2018-08-13 14:58,138,491,"No More Mr. Nice Guy... Just F**cking Vote! Make A Statement with your own shirt from http://ShopChangeTheRef.org - #changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives pic.twitter.com/BJGNvrtqOU",,,#changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives,"1029125160383799296",https://twitter.com/ChangeTheRef/status/1029125160383799296
"Change the Ref",ChangeTheRef,2018-08-13 13:55,70,242,"Manuel and Patricia, joined CBSN to explain how they're using art as a form of activism & demanding change through murals. - #changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives pic.twitter.com/mOhAB1A2zR",,,#changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives,"1029109166382768129",https://twitter.com/ChangeTheRef/status/1029109166382768129
"Marko Silberhand",MarkoSilberhand,2018-08-13 06:29,86,518,"You, your classmates and your generation are the hope ! You guys are not alone ! #MarchForOurLives Hugs and greetings from Germany ! pic.twitter.com/3aOEkYy3kL",,,#MarchForOurLives,"1028997022202974208",https://twitter.com/MarkoSilberhand/status/1028997022202974208
"Po Murray",ponumurray,2018-08-13 05:26,69,286,"This little girl is Martin Luther King Jr’s granddaughter Yolanda Renee King. She was here in Newtown yesterday calling for action to end gun violence in America. My heart melted & I shed tears of sadness and joy. #RoadToChange #MarchforOurLives pic.twitter.com/fIMi79iL6e",,,#RoadToChange #MarchforOurLives,"1028981174385958912",https://twitter.com/ponumurray/status/1028981174385958912
"Emilee McGovern",EmileeRose,2018-08-12 17:52,88,383,"Road To Change finished out their summer long tour today with a community rally in Newtown, Connecticut. The energy from those who spoke and those who showed up was monumental. Change is coming. #roadtochange #sandyhook #marchforourlives #newtown pic.twitter.com/anX1UJKdYI",,,#roadtochange #sandyhook #marchforourlives #newtown,"1028806415148875776",https://twitter.com/EmileeRose/status/1028806415148875776
"MTV NEWS",MTVNEWS,2018-08-12 14:20,60,249,"“It’s really important with this movement to be inclusive and diverse in our message because we need to promote all lives and all perspectives and all experiences of gun violence.” - @briaasmithh on representing youths of color on the #RoadToChange #MarchForOurLives pic.twitter.com/LAng0FqTlb",,@briaasmithh,#RoadToChange #MarchForOurLives,"1028753046501765121",https://twitter.com/MTVNEWS/status/1028753046501765121
"Chris Murphy",ChrisMurphyCT,2018-08-12 13:27,1321,5627,"Thousands turn out for #MarchForOurLives rally in Newtown. “We can’t change the world if we don’t change ourselves” says Tianna. pic.twitter.com/joyprZVftC",,,#MarchForOurLives,"1028739868187394048",https://twitter.com/ChrisMurphyCT/status/1028739868187394048
"MTV NEWS",MTVNEWS,2018-08-12 13:09,35,176,"“I’ve seen a force of young people across this country dedicated, motivated and fired up to change this nation.” @jammallemy, Marjory Stoneman Douglas class of 2016, on the #RoadToChange #MarchForOurLives",,@jammallemy,#RoadToChange #MarchForOurLives,"1028735180830371840",https://twitter.com/MTVNEWS/status/1028735180830371840
"MTV NEWS",MTVNEWS,2018-08-12 12:13,64,289,"“The young people will win and we will end the violence that destroys families and innocence every single day.” - @JaclynCorin on enacting change to end gun violence #RoadToChange #MarchForOurLives",,@JaclynCorin,#RoadToChange #MarchForOurLives,"1028721165987184641",https://twitter.com/MTVNEWS/status/1028721165987184641
"MTV NEWS",MTVNEWS,2018-08-12 11:47,32,189,"“Sandy Hook was the first shooting I really remembered in my life so we thought it was really important to come here” -Esther, 16, from @nyriseup on #RoadToChange ending in Newtown, CT #MarchForOurLives pic.twitter.com/GFDMMWqqxO",,@nyriseup,#RoadToChange #MarchForOurLives,"1028714581630300162",https://twitter.com/MTVNEWS/status/1028714581630300162
