username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Danny Lawson",DannyLawPhoto,2018-08-19 13:51,79,469,"Happy World Photography Day everybody. Here are four of my favourite photographs that I have taken over the past year. #MeghanMarkle #meghan #RoyalWedding #supermoon #wildfire #commonwealthgames2018 #WorldPhotographyDay #StormHour pic.twitter.com/8VMWVrCA6F",,,#MeghanMarkle #meghan #RoyalWedding #supermoon #wildfire #commonwealthgames2018 #WorldPhotographyDay #StormHour,"1031282556518453249",https://twitter.com/DannyLawPhoto/status/1031282556518453249
"InStyle",InStyle,2018-08-19 10:43,6,30,"The question we've all been asking: can #MeghanMarkle be a bridesmaid in #PriyankaandNick's wedding?http://instyle.io/QiXAir8",,,#MeghanMarkle #PriyankaandNick,"1031235180072189953",https://twitter.com/InStyle/status/1031235180072189953
"Carolyn Durand",CarolynDurand,2018-08-19 08:49,64,240,"Reports that HRH The #DuchessofSussex #MeghanMarkle is in Canada are inaccurate. She is not currently in Toronto. pic.twitter.com/aRQaQ2Uwaq",,,#DuchessofSussex #MeghanMarkle,"1031206595252940800",https://twitter.com/CarolynDurand/status/1031206595252940800
"DressLikeaDuchess",DressDuchess,2018-08-18 19:40,13,86,"Duchess #MeghanMarkle flew without her husband on an Air Canada flight on Saturday into Toronto. We hope she looked as happy at the airport as she did in June of last year. (Source @RoyalCentral) pic.twitter.com/5HkTtylc35",,@RoyalCentral,#MeghanMarkle,"1031008014050897920",https://twitter.com/DressDuchess/status/1031008014050897920
"Meghan And Her Prince👑",megandherprince,2018-08-18 15:44,17,91,"Hi My names Alice, I ran a fan acc for #PrinceHarry &amp; #MeghanMarkle ,officially TRH The #DukeandDuchessOfSussex on Ig with 188k followers. Itwitter, & have always had more fun on it so I thought I’d start over here. If you want please follow, rt & like!",,,#PrinceHarry #MeghanMarkle #DukeandDuchessOfSussex,"1030948480376860672",https://twitter.com/megandherprince/status/1030948480376860672
"Nakai Takawira",nakai_takawira,2018-08-18 14:31,8,71,"Really excited to visit #BuckinghamPalace after working with onset #MeghanMarkle on #HarryAndMeghan #aroyalromance. If I got to meet the real Duchess of Sussex, HOW AMAZING WOULD THAT BE??? #KensingtonRoyal #DukeandDuchessofSussex #summeratthepalace #aug27 pic.twitter.com/ugdDUyD2CO",,,#BuckinghamPalace #MeghanMarkle #HarryAndMeghan #aroyalromance #KensingtonRoyal #DukeandDuchessofSussex #summeratthepalace #aug27,"1030930278670323713",https://twitter.com/nakai_takawira/status/1030930278670323713
"2020isCOMING🍌♀️☮️🌊",ROZmandelcorn,2018-08-18 12:27,10,32,"a day ahead of time: HAPPY 3rd-MONTHIVERSARY to #DukeandDuchessofSussex #MeghanMarkle #PrinceHarry #HarryandMeghan may you have decades of happiness & joy together. pic.twitter.com/6LJWHgABDW",,,#DukeandDuchessofSussex #MeghanMarkle #PrinceHarry #HarryandMeghan,"1030898902969372673",https://twitter.com/ROZmandelcorn/status/1030898902969372673
"Elizabeth K Mahon",scandalwomen,2018-08-17 07:47,27,121,"I'm tired of reporters & so-called 'royal insiders' giving Meghan's father a pass for his behavior. Prince Harry offered the man help, he refused it. Her father is a grown ass man. He should know how to behave. Look at her mother! #MeghanMarkle #DuchessofSussex #meghanandharry",,,#MeghanMarkle #DuchessofSussex #meghanandharry,"1030466094644031488",https://twitter.com/scandalwomen/status/1030466094644031488
"MeghanMaven.com",MeghanMaven,2018-08-17 07:45,11,80,"Found! #MeghanMarkle wore this camel coloured 'Sesame' coat by Dutch fashion label Turnover back in 2015 and again in 2016! https://meghanmaven.com/shop/turnover-sesame-coat/ … pic.twitter.com/afVU7Hhtiq",,,#MeghanMarkle,"1030465708805836806",https://twitter.com/MeghanMaven/status/1030465708805836806
"NYFW",nyfw,2018-08-15 12:00,15,54,"Spotted: The Duchess of Sussex #MeghanMarkle in #NYFW designer NONIE's Sleeveless Trench dress. : @GettyImages pic.twitter.com/j4oJPLqcoB",,@GettyImages,#MeghanMarkle #NYFW,"1029805156949479424",https://twitter.com/nyfw/status/1029805156949479424
"DressLikeaDuchess",DressDuchess,2018-08-14 20:06,22,124,"Just found this picture of #MeghanMarkle and it was too cute not to share! #ThrowbackTuesday pic.twitter.com/yxnP3eU1Is",,,#MeghanMarkle #ThrowbackTuesday,"1029564871057190912",https://twitter.com/DressDuchess/status/1029564871057190912
"green dirt stories",greendrtstories,2018-08-14 19:05,8,28,"She-Ra, Princess of Power was the #DuchessOfSussex’s favorite princess and I’m loving that because She-Ra was mine too!!! #GirlPower #SheRa #MeghanMarkle pic.twitter.com/UqWpEKObMO",,,#DuchessOfSussex #GirlPower #SheRa #MeghanMarkle,"1029549598392700928",https://twitter.com/greendrtstories/status/1029549598392700928
