username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Democratic Coalition",TheDemCoalition,2018-10-15 15:34,162,224,"Before we normalize the idea that women commonly falsely accuse men of sex crimes, it matters to understand: False accusations rarely happen, despite politicians’ dishonest spin. https://www.bostonglobe.com/opinion/2018/10/14/the-myth-false-accusations-sexual-assault/Qsy2s4MgJ0k0CXyVjSZcKM/story.html … #BelieveSurvivors",,,#BelieveSurvivors,"1051964484644941825",https://twitter.com/TheDemCoalition/status/1051964484644941825
"Nina Malavia | The Crafty Hipster",NinaMalavia,2018-10-15 14:21,67,60,"Enough is enough! Please check out my Facebook post about how I was sexually assaulted yesterday at the @ChicagoBears @MiamiDolphins game yesterday at @HardRockStadium + the @MGPDFL did absolutely nothing. #MeToo #BelieveWomen #BelieveSurvivors https://www.facebook.com/645295645/posts/10160990551730646/ …",,@ChicagoBears @MiamiDolphins @HardRockStadium @MGPDFL,#MeToo #BelieveWomen #BelieveSurvivors,"1051946219709366272",https://twitter.com/NinaMalavia/status/1051946219709366272
"Michael Malice",michaelmalice,2018-10-15 09:16,24,126,"Dick Blumenthal survived Vietnam Elizabeth Warren survived genocide #BelieveSurvivors",,,#BelieveSurvivors,"1051869544535482370",https://twitter.com/michaelmalice/status/1051869544535482370
"T. Zerilli-Edelglass",TeresaEdelglass,2018-10-15 08:03,642,748,"NJGovPhilMurphy former campaign volunteer accuses former staffer of rape, prosecutor swept case under the rug. Accuser went to police, hospital, & contacted Murphy & his wife to no avail. http://www.freerepublic.com/focus/f-news/3696574/post … The hypocrisy of the left is stunning. So much for #BelieveSurvivors pic.twitter.com/AtevbB6uxn",,,#BelieveSurvivors,"1051851136209170437",https://twitter.com/TeresaEdelglass/status/1051851136209170437
"Abigail Spencer",abigailspencer,2018-10-15 07:15,43,305,"“The way to right wrongs is to turn the light of truth upon them.” Ida B. Wells. important organization. important time. grateful to be a part. and thank you @people for supporting & @dv_leap for having me! Stan Barouh #believewomen #believesurvivors #tipthescales pic.twitter.com/seMCedkkog",,@people @dv_leap,#believewomen #believesurvivors #tipthescales,"1051839043250610177",https://twitter.com/abigailspencer/status/1051839043250610177
"Democratic Coalition",TheDemCoalition,2018-10-15 05:55,80,118,"The #ShitholePresident seemed to show no remorse when asked about Dr. Ford Sunday night: I didn't really make fun of her. I said the person that we're talking about didn't know the year, the time, the place. https://www.cbsnews.com/news/donald-trump-christine-blasey-ford-testimony-maga-rally-response-60-minutes-interview-today-2018-10-14/ … #BelieveSurvivors",,,#ShitholePresident #BelieveSurvivors,"1051818747743404034",https://twitter.com/TheDemCoalition/status/1051818747743404034
"Lauren Mayberry",laurenevemay,2018-10-14 13:23,237,2547,"Me to people who were upset about the Ted Cruz / Brett Kavanaugh / Chris Brown comments at @aclfestival. #believesurvivors pic.twitter.com/4YAUT6XurS",,@aclfestival,#believesurvivors,"1051569086822580225",https://twitter.com/laurenevemay/status/1051569086822580225
"Jennifer Cohn",jennycohn1,2018-10-14 11:47,121,212,"There is an inherent conflict between #BelieveSurvivors & due process. I don’t know the exact right answer, but I do know that the WRONG answer is to shame survivors as Republicans are doing. And where, as here, the allegations are credible, it is shameful to conduct a sham...1/ https://twitter.com/jennycohn1/status/1050449317935210496 …",,,#BelieveSurvivors,"1051544934916866049",https://twitter.com/jennycohn1/status/1051544934916866049
"Angela Box",TheBoxThatRoxx,2018-10-14 07:21,71,85,"Hmmm. Here’s a tricky #SJW #VirtueSignaling minefield for you. White (racist devil) woman ( #BelieveSurvivors) accuses black (oppressed saint) boy (future predator) of groping her, but it turns out she lied. What’s a good #MeToo #TimesUp liberal to do?! https://www.nytimes.com/2018/10/12/nyregion/woman-calls-police-black-boy-brooklyn.html …",,,#SJW #VirtueSignaling #BelieveSurvivors #MeToo #TimesUp,"1051478100075302914",https://twitter.com/TheBoxThatRoxx/status/1051478100075302914
"pokerqueen1215",pokerqueen1215,2018-10-13 21:33,362,388,"Why don’t the looney leftists who #BelieveSurvivors not take @keithellison’s victims at their word? Their narrative collides with the truth. Minnesota Court Orders Keith Ellison’s 2012 Divorce Records Unsealed; Democrats Remain Silent https://ilovemyfreedom.org/official-orders-keith-ellisons-2012-divorce-records-unsealed/ … via @ILMForg",,@keithellison @ILMForg,#BelieveSurvivors,"1051330060127531008",https://twitter.com/pokerqueen1215/status/1051330060127531008
"BrooklynDad_Defiant!",mmpadellan,2018-10-13 19:48,280,732,"If you find yourself looking at your husband the way SHE does after getting shoved out of the way, and then pounded vigorously on the back... ...PLEASE find yourself another husband. #BelieveSurvivors https://twitter.com/IndivisibleNet/status/1050961045005557761 …",,,#BelieveSurvivors,"1051303736801411072",https://twitter.com/mmpadellan/status/1051303736801411072
"Planned Parenthood Action",PPact,2018-10-13 17:37,50,209,". @LeahVukmir, what ‘cheapens’ the #MeToo movement is when people in a position of public trust dismiss survivors and gaslight women. We #BelieveSurvivors. So does @TammyBaldwin. #WISen pic.twitter.com/tCjjcMXTnB",,@LeahVukmir @TammyBaldwin,#MeToo #BelieveSurvivors #WISen,"1051270771388178432",https://twitter.com/PPact/status/1051270771388178432
