username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Stand Up America",StandUpAmerica,2018-10-12 06:45,37,29,"While we fought to #StopKavanaugh, the GOP quietly extended their tax scam. In Trump’s America, the rich get richer—and working families get left behind. We need to elect progressives that will fight for ALL of us. Sign up for election reminders: Text BALLOT to 21333. https://twitter.com/nowthisnews/status/1050161051575222272 …",,,#StopKavanaugh,"1050744364006330368",https://twitter.com/StandUpAmerica/status/1050744364006330368
"Blavity News",Blavity,2018-10-10 19:00,23,67,"Welp @SenatorCollins voted in favor of Kavanaugh. So, Susan Rice ( @AmbassadorRice) said she would run for Senate to take her seat and we're here for it. #Maine2020 #StopKavanaugh http://bit.ly/2NzDaMA pic.twitter.com/XefsFWJ20B",,@SenatorCollins @AmbassadorRice,#Maine2020 #StopKavanaugh,"1050204356522496000",https://twitter.com/Blavity/status/1050204356522496000
"Alliance for Justice",AFJustice,2018-10-09 10:52,15,25,"If you fought to #StopKavanaugh, you already know that #courtsmatter. Circuit and district court judges serve for LIFE - and have the final word on thousands of cases that impact our lives and rights every year. There's too much at stake to stop fighting now.",,,#StopKavanaugh #courtsmatter,"1049719244479451141",https://twitter.com/AFJustice/status/1049719244479451141
"Jess Morales Rocketto",JessLivMo,2018-10-09 10:13,24,52,"Last week, women confronted our leaders to #StopKavanaugh. This week, Sec. Nielsen will be in DC testifying tomorrow at the Senate. Demand her resignation in person because #FamiliesBelongTogether: https://www.facebook.com/events/883178968737121/ … …",,,#StopKavanaugh #FamiliesBelongTogether,"1049709507172081664",https://twitter.com/JessLivMo/status/1049709507172081664
"Nancy🤸🏻‍♀️Treviño",nancirulia,2018-10-09 06:13,11,27,"We are out in front of the steps of #SCOTUS to let #Kavanaugh know that he is not welcome here. #BelieveSurvivors #CancelKavanaugh #StopKavanaugh pic.twitter.com/YA2d10To5l",,,#SCOTUS #Kavanaugh #BelieveSurvivors #CancelKavanaugh #StopKavanaugh,"1049648997961531392",https://twitter.com/nancirulia/status/1049648997961531392
"E.H. Hau #Resist #Persist",ActionTime,2018-10-09 01:52,84,67,"#Retweet To Help Encourage Continuous Exposé of #Trump-Kavanaugh Network of Sexual Predators #FBR #MeToo #Dems #UniteBlue #FlipItBlue #ReSister #ReSisters #Resist #KavanaughLies #StopKavanaugh #NoKavaugh #KavaNo #KavaNope #VoteThemOut #VoteHimOut #VoteBluehttps://www.politicususa.com/2018/10/08/joy-reid-high-fiving-gop.html …",,,#Retweet #Trump #FBR #MeToo #Dems #UniteBlue #FlipItBlue #ReSister #ReSisters #Resist #KavanaughLies #StopKavanaugh #NoKavaugh #KavaNo #KavaNope #VoteThemOut #VoteHimOut #VoteBluehttps,"1049583366847090688",https://twitter.com/ActionTime/status/1049583366847090688
"Kyle Michaelis",NewNebraska,2018-10-08 14:37,12,16,"We were told that @SenSasse really cared about our past trauma and that he supported us and believed us...So, when we were told that he voted for #Kavanaugh, it felt like a betrayal.” #StopKavanaugh #NEsenhttps://twitter.com/DailyNeb/status/1049298528747573253 …",,@SenSasse,#Kavanaugh #StopKavanaugh #NEsenhttps,"1049413607509946371",https://twitter.com/NewNebraska/status/1049413607509946371
"MoveOn",MoveOn,2018-10-07 17:10,12,35,"This. #StopKavanaugh this weekend. Thank you. Take action this weekend: http://moveon.org/waves pic.twitter.com/w7NS7mjm8g",,,#StopKavanaugh,"1049089493503016961",https://twitter.com/MoveOn/status/1049089493503016961
"B.V. Castillo",bvcastillo11,2018-10-07 10:44,15,85,"We might have lost a battle yesterday, but come #November we will win the war. Get out and voice your opinion and #VOTE! #representationmatters #ibelieveher #womenempowerment #justice #supremecourt #politics #vote #votenovember #stopkavanaugh #timesup #metoo #metoomovement pic.twitter.com/hUiq5cb9g1",,,#November #VOTE #representationmatters #ibelieveher #womenempowerment #justice #supremecourt #politics #vote #votenovember #stopkavanaugh #timesup #metoo #metoomovement,"1048992425392320513",https://twitter.com/bvcastillo11/status/1048992425392320513
"Indivisible Guide",IndivisibleTeam,2018-10-07 10:32,104,267,"“The reason I tell my story is to create space & dignity for survivors to let them know that they are seen, that they are not alone, & that I am going to be vigilant for their healing & justice. - @AyannaPressley http://fal.cn/SBsD #MA07 #BelieveSurvivors #StopKavanaugh",,@AyannaPressley,#MA07 #BelieveSurvivors #StopKavanaugh,"1048989333221457921",https://twitter.com/IndivisibleTeam/status/1048989333221457921
"Steve Kerrigan",stevekerrigan,2018-10-07 08:57,11,26,"My friend, my @SenMarkey bringing the heat at the #StopKavanaugh rally at #SCOTUS yesterday. Both he & @SenWarren made this Bay Stater’s pride sore w/their leadership in this fight. #NovemberIsComing #mapoli pic.twitter.com/ZP3EIILWgw – at Supreme Court of the United States",,@SenMarkey @SenWarren,#StopKavanaugh #SCOTUS #NovemberIsComing #mapoli,"1048965571847626752",https://twitter.com/stevekerrigan/status/1048965571847626752
"NARAL",NARAL,2018-10-07 08:38,71,78,"“There are 29 total cases related to reproductive health that are ‘one step away from the Supreme Court’—14 of which deal directly with abortion.” https://rol.st/2zP6BX8 #StopKavanaugh @JamilSmith",,@JamilSmith,#StopKavanaugh,"1048960646921027585",https://twitter.com/NARAL/status/1048960646921027585
"MoveOn",MoveOn,2018-10-07 06:55,17,13,"SUNDAY! #ResistAndWin National Organizing call w/ @AnaMariaArchil2, co-Director of @popdemoc, who recently made international headlines after confronting @JeffFlake in an elevator during the recent #SCOTUS hearings, #StopKavanaugh. http://moveon.org/resistandwincalls … pic.twitter.com/2LRtXcle8d",,@AnaMariaArchil2 @popdemoc @JeffFlake,#ResistAndWin #SCOTUS #StopKavanaugh,"1048934724029353984",https://twitter.com/MoveOn/status/1048934724029353984
"Be A Hero",BeAHeroTeam,2018-10-06 18:38,6,33,"HA! Thank you for your support, @beckyandfrank. #HearUsCollins #StopKavanaugh https://twitter.com/beckyandfrank/status/1048728977056002048 …",,@beckyandfrank,#HearUsCollins #StopKavanaugh,"1048749387608993792",https://twitter.com/BeAHeroTeam/status/1048749387608993792
"Be A Hero",BeAHeroTeam,2018-10-06 18:34,22,29,"It's Game Over for Senator Collins: https://www.crowdpac.com/campaigns/387413/either-sen-collins-votes-no-on-kavanaugh-or-we-fund-her-future-opponent/updates/3041 … #StopKavanaugh #HearMeCollins",,,#StopKavanaugh #HearMeCollins,"1048748470843183104",https://twitter.com/BeAHeroTeam/status/1048748470843183104
"Guppy Lady",dtw_happylady,2018-10-06 17:33,41,471,"This shouldn’t have been controversial - Kavanaugh is so incredibly unfit to be a SCOTUS judge there should have been NO question about voting him down. HE LIED UNDER OATH. PERIOD. #impeachKavanaugh #StopKavanaugh",,,#impeachKavanaugh #StopKavanaugh,"1048733137721671680",https://twitter.com/dtw_happylady/status/1048733137721671680
"MoveOn",MoveOn,2018-10-06 17:00,30,35,"At least thirteen abortion cases could make their way to the #SCOTUS next year - meaning if confirmed, Brett Kavanaugh could have 13 chances to gut Roe and roll back our hard-won rights. To #SaveRoe, we need to #StopKavanaugh. http://bit.ly/2PPgREL #BelieveSurvivors pic.twitter.com/IHfJ7sOixK",,,#SCOTUS #SaveRoe #StopKavanaugh #BelieveSurvivors,"1048724615139418112",https://twitter.com/MoveOn/status/1048724615139418112
"Samy Nemir-Olivares",Samynemir,2018-10-06 15:39,198,704,"Powerful Women and sexual assault survivors taking SCOTUS literally by climbing up and seating down at the statues of Contemplation of Justice and Authority of Law #MeToo #KavanaughConfirmation #StopKavanaugh pic.twitter.com/65p2C8PXXG",,,#MeToo #KavanaughConfirmation #StopKavanaugh,"1048704258315575296",https://twitter.com/Samynemir/status/1048704258315575296
