username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Global Citizen",GlblCtzn,2018-10-15 16:03,220,490,"Natalie Portman just laid out a step-by-step guide on how to tackle the patriarchy – and say #TimesUp once and for all. pic.twitter.com/cxwLU8x37U",,,#TimesUp,"1051971840363716609",https://twitter.com/GlblCtzn/status/1051971840363716609
"Soraya Chemaly",schemaly,2018-10-15 14:06,29,39,"STEM fields are the worst: 48% of women report being sexually harassed or witnessing harassment at work during the past 5 years. Across industries, 58% of women of color and 45% of women of white women report the same. Great @minegaps research below. #MeToo #TimesUp https://twitter.com/minegaps/status/1051791679999668224 …",,@minegaps,#MeToo #TimesUp,"1051942398186668032",https://twitter.com/schemaly/status/1051942398186668032
"Siddharth",Actor_Siddharth,2018-10-15 11:33,119,1168,"I stand with you Leena. Your voice will be heard. Your courage will inspire. #MeToo #ListenToTheAccuser #TimesUp https://twitter.com/LeenaManimekali/status/1051476547893219331 …",,,#MeToo #ListenToTheAccuser #TimesUp,"1051903805854429184",https://twitter.com/Actor_Siddharth/status/1051903805854429184
"Sandhya Mridul",sandymridul,2018-10-15 10:13,23,112,"In solidarity. Always. @vintananda @priyaramani #metoo #timesup https://twitter.com/Nidhi/status/1051831658003886080 …",,@vintananda @priyaramani,#metoo #timesup,"1051883863369224194",https://twitter.com/sandymridul/status/1051883863369224194
"Smita",smitav18,2018-10-15 09:14,55,45,"Yet another woman has written in about sexual harassment by @mathewjaacob from when he was at HRLN @hrln_india in New Delhi. More instances of dismissal of harassment and silencing of survivors in NGOs. Almost ironic. #metoo #MeTooIndia #TimesUp @AnooBhu @TheRestlessQuil pic.twitter.com/AMrFevkqW5",,@mathewjaacob @hrln_india @AnooBhu @TheRestlessQuil,#metoo #MeTooIndia #TimesUp,"1051868846380978176",https://twitter.com/smitav18/status/1051868846380978176
"Nilanjana Roy",nilanjanaroy,2018-10-15 08:43,49,109,"That's 15 women who've gone public with their accounts of harassment by #MJAkbar. #TimesUp https://twitter.com/maya206/status/1051857969745457152 …",,,#MJAkbar #TimesUp,"1051861252052578310",https://twitter.com/nilanjanaroy/status/1051861252052578310
"Soraya Chemaly",schemaly,2018-10-15 08:26,45,114,"What's more frightening to men, that a woman might lie or that the vast majority are telling the truth? If women are telling the truth then men's identities are threatened on multiple levels https://medium.com/s/powertrip/why-dont-good-men-believe-women-23be0ce607c9?email=soraya.chemaly%40gmail.com … #MeToo #TimesUP #masculinity",,,#MeToo #TimesUP #masculinity,"1051856953352310785",https://twitter.com/schemaly/status/1051856953352310785
"The Daily Edge",TheDailyEdge,2018-10-15 08:16,168,239,"“We won,” is not an excuse for mocking Dr. Blasey Ford. It is not an excuse for failing to fully investigate her (and 2 other credible women’s) sworn allegations. It is not an excuse for ignoring claims that Trump himself assaulted and harassed many teen girls & women. #TimesUp https://twitter.com/kylegriffin1/status/1051669030258561025 …",,,#TimesUp,"1051854351109693440",https://twitter.com/TheDailyEdge/status/1051854351109693440
"Tears of Trudeau",TearsOfTrudeau,2018-10-15 08:09,129,174,"Fair and equitable election coverage is necessary to maintain broadcast licences, not to mention Canadian democracy http://dev8.troymedia.com/municipal/goldy-media-toronto-mayor-debate/ … #TOpoli #TOelxn #LetFaithDebate #FaithforMayor #FaithForToronto @JohnTory #TimesUp",,@JohnTory,#TOpoli #TOelxn #LetFaithDebate #FaithforMayor #FaithForToronto #TimesUp,"1051852488494764032",https://twitter.com/TearsOfTrudeau/status/1051852488494764032
"Prakash Raj",prakashraaj,2018-10-15 06:53,134,760,"Dear gentleman..(if at all ur one) yes..yessss....”lies don’t have legs”. ...But they walk because of MEN like you .. your .. #TimesUp⁠ ⁠ just take a walk .. #justaskinghttps://twitter.com/priyaramani/status/1051817717467045890 …",,,#TimesUp #justaskinghttps,"1051833522434891776",https://twitter.com/prakashraaj/status/1051833522434891776
