username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Scott Yancey",Scott_Yancey,2019-02-28 13:31,5,101,"#TBT on a remote island with @Amie_Yancey Anyone recognize what famous movie was filmed here? #mystical #paradise #sea #boat pic.twitter.com/0THRGzmiMX",,@Amie_Yancey,#TBT #mystical #paradise #sea #boat,"1101233335999844353",https://twitter.com/Scott_Yancey/status/1101233335999844353
"⚡️LD⚡️",LDTEEstore,2019-02-28 10:54,15,482,"Lovely evening walk #Paradise #CelticFC #hailhail pic.twitter.com/BiuHBeB77r",,,#Paradise #CelticFC #hailhail,"1101193951816630274",https://twitter.com/LDTEEstore/status/1101193951816630274
"Melissa Daugherty",MaddogDaugherty,2019-02-28 10:28,11,12,"Read and share this story. This is huge, and unfortunately really devastating to the efforts to rebuild #Paradise in the wake of the #campfire. It’s a public health issue and it’s a very serious one—and it is not being addressed.” --Andrew Whelton, Purdue University professorhttps://twitter.com/ChicoNR/status/1101166259742240768 …",,,#Paradise #campfire,"1101187465895792641",https://twitter.com/MaddogDaugherty/status/1101187465895792641
"BTS US ARMY x 50 States",BTSx50States,2019-02-28 08:43,38,92,"OMG YASSSS HOUSE OF CARDS I'm also gonna pretend you said #Paradise too @BTS_twthttps://twitter.com/BTSxSouthWest/status/1101139388350648320 …",,@BTS_twthttps,#Paradise,"1101161050341281794",https://twitter.com/BTSx50States/status/1101161050341281794
"M arve🌸",hotsweetally,2019-02-28 07:01,5,37,"#420 time with best friend forever @Banksie231 #Camgirl #Paradise #waves pic.twitter.com/kxW96fezu4",,@Banksie231,#420 #Camgirl #Paradise #waves,"1101135378914992128",https://twitter.com/hotsweetally/status/1101135378914992128
"BTS US ARMY x 50 States",BTSx50States,2019-02-28 04:59,17,182,"I mean word... Ddaeng is everyones bias and wrecker @BTS_twt #ButIAlsoWant #Paradise #CaniGetA24hrConcert?",,@BTS_twt,#ButIAlsoWant #Paradise #CaniGetA24hrConcert,"1101104691713359872",https://twitter.com/BTSx50States/status/1101104691713359872
"BBC Learning English",bbcle,2019-02-28 02:04,12,43,"Is it worth saving paradise? That’s what they’re trying to do in Thailand. Learn great vocabulary and find exactly what is going on here: https://bbc.in/2EhAIaW #bbclearningenglish #esl #learnenglish #elt #news #vocabulary #thailand #mayabay #paradise pic.twitter.com/UxUUCU33jz",,,#bbclearningenglish #esl #learnenglish #elt #news #vocabulary #thailand #mayabay #paradise,"1101060643342430209",https://twitter.com/bbcle/status/1101060643342430209
"Wanderlust Campers",campersafrica,2019-02-28 01:35,11,24,"Matopo National Park has great picturesque landscapes that can take your breath away. It is the ideal hikers paradise. #Hashtag #Photography #Art #Panorama #Landscape #Picture #Backpacker #Backpacking #Travel #Adventure #Explore #Wanderlust #Paradise #Wild #Nature #Geography pic.twitter.com/aWa7lqYEet",,,#Hashtag #Photography #Art #Panorama #Landscape #Picture #Backpacker #Backpacking #Travel #Adventure #Explore #Wanderlust #Paradise #Wild #Nature #Geography,"1101053244032368640",https://twitter.com/campersafrica/status/1101053244032368640
"Lady V👩‍💻🔥💚",ChaliceGarden,2019-02-27 19:46,11,6,"#ParadiseStrong #CampFirePets #Chico #YubaCity #Oroville #Magalia #Paradise Updated 7:40p #CampFire resources: events, giveaways, $$, finding pets, food, rebuild, housing, jobs, tools, donations/vols needed & more! Please RT! https://docs.google.com/document/d/1sfabgciPL5ci3R3sTaapHibtqkDFURF5Hc8FsetE98Y/ …",,,#ParadiseStrong #CampFirePets #Chico #YubaCity #Oroville #Magalia #Paradise #CampFire,"1100965335744733184",https://twitter.com/ChaliceGarden/status/1100965335744733184
"Volker Lehmann Photo",volklehman,2019-02-26 23:18,4,46,"Romance. #thailand #southeastasia #sunset #sunrise #asia #Krabi #landscapephotography #naturephotography #photography #paradise #asia #travel #travelphotography #nikon #Romance #nightphotography #AmazingThailand #beautifuldestinations #railaybeach #andamansea pic.twitter.com/KWQLbuoStk",,,#thailand #southeastasia #sunset #sunrise #asia #Krabi #landscapephotography #naturephotography #photography #paradise #asia #travel #travelphotography #nikon #Romance #nightphotography #AmazingThailand #beautifuldestinations #railaybeach #andamansea,"1100656405076471808",https://twitter.com/volklehman/status/1100656405076471808
"Datuk Abdul Karim Rahman Hamzah",ybkarimhamzah,2019-02-26 22:33,12,23,"#paradise in #Sarawak highlandshttps://twitter.com/MalaysiaAsia/status/1100636744175607809 …",,,#paradise #Sarawak,"1100645007923437571",https://twitter.com/ybkarimhamzah/status/1100645007923437571
"Edward Xiong",ed_xiong,2019-02-26 18:16,9,32,"A paradise on doorstep Balmoral Beach #Sydney #ilovesydney #beach #Paradise #beachlife #fun #amazing #mosmanmoments pic.twitter.com/1KvetbaSwa",,,#Sydney #ilovesydney #beach #Paradise #beachlife #fun #amazing #mosmanmoments,"1100580479592321024",https://twitter.com/ed_xiong/status/1100580479592321024
"Pauline Bartolone",pbartolone,2019-02-26 16:14,8,14,"These #Paradise residents want you to know: Their town is not gone, and they're starting to rebuild it on their own terms. #Paradisestrong #Californiawildfires http://www.capradio.org/articles/2019/02/26/camp-fire-survivors-share-their-dreams-for-a-rebuilt-paradise-at-community-meeting/ … pic.twitter.com/bUndgA1im6",,,#Paradise #Paradisestrong #Californiawildfires,"1100549684559470594",https://twitter.com/pbartolone/status/1100549684559470594
"AshleyDillz",ashleydillzz,2019-02-26 13:23,3,18,"TOMORROW —> @dejavoom .. THE EXCITEMENT IS REAL!!!!! @bassnectar Can’t wait to be in #paradise pic.twitter.com/7WNH0KRxur",,@dejavoom @bassnectar,#paradise,"1100506555135479808",https://twitter.com/ashleydillzz/status/1100506555135479808
