username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Dogman🇺🇸",Dogman1013,2018-08-14 13:13,160,174,"CAIR seems to be troubled by the fact that TSA burdens Muslims by searching their bags and persons. We have all seen the videos of of elderly and children getting searched by TSA. CAIR just wants a free pass for Muslims. Remember Sept. 11, 2001? #NeverAgain https://twitter.com/CAIRNational/status/1029414498631917570 …",,,#NeverAgain,"1029461086762872832",https://twitter.com/Dogman1013/status/1029461086762872832
"Franny🌊RESISTS!!",PoliticalDoggy,2018-08-14 11:26,105,180,"#TuesdayThoughts I've been on Twitter for over 6-1/2 years, and I've NEVER seen this amount of unity and passion among Democratic voters. #VoteBlue #NeverAgain #VoteBlueToSaveAmerica #DumpTrump There is a movement afoot, and we need to preserve it. pic.twitter.com/CLP0Jy0oi1",,,#TuesdayThoughts #VoteBlue #NeverAgain #VoteBlueToSaveAmerica #DumpTrump,"1029434033661505538",https://twitter.com/PoliticalDoggy/status/1029434033661505538
"amit #MSDStrong",amit_dadon,2018-08-14 11:00,24,90,"6 months later, we are still fighting for Joaquin, Carmen, Nick, Jaime, Meadow, Helena, Peter, Feis, Hixon, Beigel, Gina, Luke, Cara, Alyssa, Martin, Alaina, and Alex. For them, we will bring change. Because no community should ever feel this pain. #NeverAgain #MSDStrong",,,#NeverAgain #MSDStrong,"1029427448298045446",https://twitter.com/amit_dadon/status/1029427448298045446
"Youth Over Guns",YouthOverGuns,2018-08-14 10:50,26,60,"Today we remember the 17 lives that were lost due to senseless gun violence. This tragedy shook up the country, and sparked a historic debate on gun violence. We thank the many powerful youth leaders that have emerged out of this debate/ movement. #MSDStrong #NeverAgain pic.twitter.com/zCC6cid1Mj",,,#MSDStrong #NeverAgain,"1029424964708040704",https://twitter.com/YouthOverGuns/status/1029424964708040704
"Change the Ref",ChangeTheRef,2018-08-14 10:46,32,106,"Help us build our next Wall of Demand! Donate Now at http://www.gofundme.com/changetheref - #changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives #weneedchange #stopthevoilence #support #whatif #enough pic.twitter.com/GwPFTjv6e6",,,#changetheref #msdstrong #notonemore #neveragain #guncontrol #gunreform #marchforourlives #parklandstrong #march4ourlives #weneedchange #stopthevoilence #support #whatif #enough,"1029424116523302912",https://twitter.com/ChangeTheRef/status/1029424116523302912
"Mother Jones",MotherJones,2018-08-14 09:39,122,196,"The fact that we can have a kid get shot—and depending on their zip code—that determines how many seconds they get on TV. That's sad. That's really sad. — #NeverAgain co-founder @davidhogg111 http://bit.ly/2nDluoN pic.twitter.com/HH9xQE3KG6",,@davidhogg111,#NeverAgain,"1029407261611843584",https://twitter.com/MotherJones/status/1029407261611843584
"James West",jameswest2010,2018-08-14 08:21,41,93,"The 6-month anniversary of the Parkland shooting is today. We spoke to @davidhogg111 and other @AMarch4OurLives #NeverAgain leaders about what they've learned and what's next at this critical moment in their movement: https://bit.ly/2ODyNRB",,@davidhogg111 @AMarch4OurLives,#NeverAgain,"1029387529978560512",https://twitter.com/jameswest2010/status/1029387529978560512
"Matt Deitsch",MattxRed,2018-08-14 07:18,468,1509,"6 months later and we continue to come together around this country to say #NeverAgain. No one should feel the pain Parkland feels. Remember the names and work to stop the pain that this nation continues to feel from gun violence. #MSDStrong pic.twitter.com/3TcTojHxuq",,,#NeverAgain #MSDStrong,"1029371661248851968",https://twitter.com/MattxRed/status/1029371661248851968
"MSD Alumni",MobilizingMSD,2018-08-14 06:19,28,77,"Six months ago everything changed. We will never forget our 17 fallen eagles, and we will all continue to fight until #NeverAgain is a reality. #orangewaveinnovember pic.twitter.com/wXniMbZWIW",,,#NeverAgain #orangewaveinnovember,"1029356716574556162",https://twitter.com/MobilizingMSD/status/1029356716574556162
"Richard Angwin",RichardAngwin,2018-08-14 04:07,762,1084,"Oh, what a tangled web we weave, when first we practice to deceive - Sir Walter Scott #TuesdayThoughts #WalterScott #Resist #Trump #1u #tcot #maga #kag #qanon #wwg1wga #mapoli #potus #usa #NeverAgain #BlueWave #TheResistance #TrumpRussia #ImpeachTrump pic.twitter.com/5bE6gBZ3sL",,,#TuesdayThoughts #WalterScott #Resist #Trump #1u #tcot #maga #kag #qanon #wwg1wga #mapoli #potus #usa #NeverAgain #BlueWave #TheResistance #TrumpRussia #ImpeachTrump,"1029323623650263040",https://twitter.com/RichardAngwin/status/1029323623650263040
