username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Samir Hussein",samhussein,2018-08-04 09:36,71,345,"Harry & Meghan attend the wedding of his close friend Charlie van Straubenzee in Surrey. #harryandmeghan #royals @GettyVIP pic.twitter.com/8gyGgr7Rj9",,@GettyVIP,#harryandmeghan #royals,"1025782579524509696",https://twitter.com/samhussein/status/1025782579524509696
"Meghan Markle Fan I meghanmarklefan.com",mmarklefancom,2018-08-04 08:55,81,295,"Harry & Meghan at Charlie Van Straubenzee and Daisy Jenks' wedding today #HarryandMeghan #MeghanMarkle #PrinceHarry #DuchessofSussex http://meghanmarklefan.com/photos/thumbnails.php?album=508 … pic.twitter.com/SZ8uBCB3Uy",,,#HarryandMeghan #MeghanMarkle #PrinceHarry #DuchessofSussex,"1025772138194714624",https://twitter.com/mmarklefancom/status/1025772138194714624
"Roya Nikkhah",RoyaNikkhah,2018-08-04 07:52,94,455,"The Duke and Duchess of Sussex are attending the wedding of their close friends Charlie van Straubenzee and Daisy Jenks in Surrey. Meghan is also celebrating her 37th birthday today #dukeandduchessofsussex #harryandmeghan pic.twitter.com/ROHUle3kpT",,,#dukeandduchessofsussex #harryandmeghan,"1025756317246521344",https://twitter.com/RoyaNikkhah/status/1025756317246521344
"On Demand News",ODN,2018-08-03 16:26,248,925,"Happy 37th birthday to Meghan, Duchess of Sussex!! Let's have a look at her eventful year - from the engagement announcement to the #RoyalWedding: #MeghanMarkle #Royals #DuchessofSussex #HarryandMeghan pic.twitter.com/mxXwOlasH4",,,#RoyalWedding #MeghanMarkle #Royals #DuchessofSussex #HarryandMeghan,"1025523335399174145",https://twitter.com/ODN/status/1025523335399174145
"Ian Jones",ijonesphoto,2018-07-26 10:08,44,270,"A winners kiss. Prince Harry’s team wins the #SentebaleISPSPolo cup #harryandmeghan pic.twitter.com/EIo6tldZ4I",,,#SentebaleISPSPolo #harryandmeghan,"1022529120981475329",https://twitter.com/ijonesphoto/status/1022529120981475329
"Emily Nash",emynash,2018-07-26 08:52,269,1739,"Sweet moment as the very happy couple leave the field hand in hand: #harryandmeghan #SentebabeISPSPolo pic.twitter.com/IrfjqNjzzI",,,#harryandmeghan #SentebabeISPSPolo,"1022509927582113792",https://twitter.com/emynash/status/1022509927582113792
"Omid Scobie",scobie,2018-07-24 10:37,29,142,"Must-see/read interview by @MaxFosterCNN with @eltonofficial, who says that #HarryandMeghan’s wedding was “progress” https://edition.cnn.com/2018/07/24/uk/elton-john-royal-wedding-intl/index.html …",,@MaxFosterCNN @eltonofficial,#HarryandMeghan,"1021811572505817088",https://twitter.com/scobie/status/1021811572505817088
"Omid Scobie",scobie,2018-07-17 10:12,94,282,"Great quote about #HarryandMeghan from @NelsonMandela’s granddaughter Zamaswazi Dlamini after meeting the couple today: pic.twitter.com/OXORoFJJbD",,@NelsonMandela,#HarryandMeghan,"1019268741216030720",https://twitter.com/scobie/status/1019268741216030720
"Russell Myers",rjmyers,2018-07-17 04:09,34,124,"VIDEO - Harry and Meghan took time to examine a pickaxe similar to the one Nelson Mandela would have been forced to use when carrying out manual labour at Robben Island #harryandmeghan #NelsonMandelaCentenary pic.twitter.com/Do12hS0qXF",,,#harryandmeghan #NelsonMandelaCentenary,"1019177161033478145",https://twitter.com/rjmyers/status/1019177161033478145
"Kitty Holland",KittyHollandIT,2018-07-11 12:15,165,910,"The fawning over #HarryandMeghan has been pretty nauseating. For clarity, Meghan is no feminist if we care about all women's rights. They're a vestige of feudalism and not the company progressive people should keep. A lot of people should have known better.",,,#HarryandMeghan,"1017125210552664065",https://twitter.com/KittyHollandIT/status/1017125210552664065
