username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
"Meghan And Her Prince👑",megandherprince,2018-08-18 15:44,17,91,"Hi My names Alice, I ran a fan acc for #PrinceHarry & #MeghanMarkle ,officially TRH The #DukeandDuchessOfSussex on Ig with 188k followers. Itwitter, & have always had more fun on it so I thought I’d start over here. If you want please follow, rt & like!",,,#PrinceHarry #MeghanMarkle #DukeandDuchessOfSussex,"1030948480376860672",https://twitter.com/megandherprince/status/1030948480376860672
"Prince Harry Watch",HWalesWatch,2018-08-15 19:01,42,151,"Y’ALL!!! LOOK AT THIS BOOK!! #princeharry #meghan #sussexes The Duchess and Guy: A Rescue-to-Royalty Puppy Love Storyhttps://www.amazon.com/dp/0358023041/ref=cm_sw_r_tw_api_DQnDBb3Q98XFZ …",,,#princeharry #meghan #sussexes,"1029910944745435137",https://twitter.com/HWalesWatch/status/1029910944745435137
"Groovyshelly",groovyshelly,2018-08-11 18:05,16,73,"Dear Thomas Markle, You've used the press to promote yourself & tried to use your daughter as an ATM. And you feign victimhood. Compared to you, Darth Vader is Dad of the Year. #MeghanMarkle #PrinceHarry #HarryandMeghan #DuchessMeghan",,,#MeghanMarkle #PrinceHarry #HarryandMeghan #DuchessMeghan,"1028447435742371840",https://twitter.com/groovyshelly/status/1028447435742371840
"Astrid_Official",astridsingsjazz,2018-08-11 10:52,23,53,"@RoarForJess look who we bumped into? Only @KensingtonRoyal #princeharry ... well, perhaps the real wonderful prince will also send a #roarforjess! pic.twitter.com/A1hY5WpYsJ",,@RoarForJess @KensingtonRoyal,#princeharry #roarforjess,"1028338272622321664",https://twitter.com/astridsingsjazz/status/1028338272622321664
"Harry's Meg",HarrysMeghan,2018-08-11 10:17,17,94,"A reminder that your favs arw darling #MeghanMarkle #PrinceHarry #DukeofSussex #DuchessofSussex pic.twitter.com/ylvolbjaZL",,,#MeghanMarkle #PrinceHarry #DukeofSussex #DuchessofSussex,"1028329477791723520",https://twitter.com/HarrysMeghan/status/1028329477791723520
"Carolyn Durand",CarolynDurand,2018-08-10 07:45,50,163,"The #DuchessofSussex #MeghanMarkle has not accompanied #PrinceHarry to #Botswana He is on a private working trip for his conservation charity Rhino Conservation Botswana where he has been involved previously protecting Rhinos from poaching Rhino Conservation Botswana pic.twitter.com/iQFRWqg8eo",,,#DuchessofSussex #MeghanMarkle #PrinceHarry #Botswana,"1027929054127841280",https://twitter.com/CarolynDurand/status/1027929054127841280
"Carolyn Durand",CarolynDurand,2018-08-10 07:40,62,265,"Kensington Palace confirm “The #DukeofSussex is on a private working trip to Botswana to join the Annual General Meeting for Rhino Conservation Botswana in his capacity as Patron He attended the Board meeting in Maun & an RCB community project in Xarakao village. #PrinceHarry pic.twitter.com/zhPTNlcLbD",,,#DukeofSussex #PrinceHarry,"1027927646263566336",https://twitter.com/CarolynDurand/status/1027927646263566336
"Matt Sprake",mattsprake,2018-08-06 00:11,11,37,"The beautiful Meghan Markle, Duchess of Sussex in Frencham on Saturday as she accompanied husband HRH Prince Harry as his best friends wedding PICTURE: © @mattsprake @_splashnews #MeghanMarkle #RoyalsWeekend #royalfamily #PrinceHarry #frencham #paplife pic.twitter.com/25AdYunbpH",,@mattsprake @_splashnews,#MeghanMarkle #RoyalsWeekend #royalfamily #PrinceHarry #frencham #paplife,"1026365170820497408",https://twitter.com/mattsprake/status/1026365170820497408
"Femina",FeminaIndia,2018-08-04 23:18,14,118,"Outfit coordination on point #princeharry #meghanmarkle pic.twitter.com/pt4r9nAWzg",,,#princeharry #meghanmarkle,"1025989517180915712",https://twitter.com/FeminaIndia/status/1025989517180915712
"Perez Hilton",PerezHilton,2018-08-04 21:30,26,190,"#MeghanMarkle is drop-dead gorgeous as she steps out for a wedding this weekend with #PrinceHarry: https://goo.gl/GaMJ2o pic.twitter.com/hmFx0lMFD5",,,#MeghanMarkle #PrinceHarry,"1025962115981406214",https://twitter.com/PerezHilton/status/1025962115981406214
"The Royal Family Channel",RoyalFamilyITNP,2018-08-04 10:14,13,98,"Snaps of Meghan out on her 37th birthday #duchessofsussex #princeharry #meghanmarkle #birthday #royals pic.twitter.com/MqfH6DWHlX",,,#duchessofsussex #princeharry #meghanmarkle #birthday #royals,"1025792205452132353",https://twitter.com/RoyalFamilyITNP/status/1025792205452132353
"Mark Cuthbert",markacuthbert,2018-08-04 09:14,105,514,"Prince Harry, Duke of Sussex and Meghan, Duchess of Sussex attend the wedding of Charlie Van Straubenzee and Daisy Jenks. #royal #MeghanMarkle #PrinceHarry #duchessofsussex #meghan pic.twitter.com/gm4F1xvlMf",,,#royal #MeghanMarkle #PrinceHarry #duchessofsussex #meghan,"1025776881319272448",https://twitter.com/markacuthbert/status/1025776881319272448
"meg & harry",meghanharrylove,2018-08-04 09:13,15,54,"HEAT #PrinceHarry #MeghanMarkle pic.twitter.com/T4GnOKtOh8",,,#PrinceHarry #MeghanMarkle,"1025776632966131713",https://twitter.com/meghanharrylove/status/1025776632966131713
"harry and meghan fan",harryandmeghan4,2018-08-04 07:43,27,117,"#NEW pic of The #DuchessofSussex has arrived at the wedding of Charlie Van Straubenzee and Daisy Jenks 4th August 2018 #meghanmarkle #PrinceHarry pic.twitter.com/YHlDuTM1vJ",,,#NEW #DuchessofSussex #meghanmarkle #PrinceHarry,"1025754225635151873",https://twitter.com/harryandmeghan4/status/1025754225635151873
"Sky News",SkyNews,2018-08-02 13:04,22,39,"If you only read three stories today... #Zimbabwe #Apple #PrinceHarry Zimbabwe on edge ahead of election announcement https://trib.al/ZWaaoRO Apple becomes first trillion dollar US company https://trib.al/2ry8nJg Prince Harry's car on Autotrader https://trib.al/FSvZsdN pic.twitter.com/aavSd5nxIN",,,#Zimbabwe #Apple #PrinceHarry,"1025110056843599873",https://twitter.com/SkyNews/status/1025110056843599873
